Title,Title Link,Author,Journal,Year,Citation Count,Snippet,Abstract
The catalytic oxidative coupling of methane,https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.199509701,"JH Lunsford - Angewandte Chemie International Edition in …, 1995 - Wiley Online Library","JH Lunsford - Angewandte Chemie International Edition in …, 1995",Wiley Online Library,Save Cite Cited by 815 Related articles All 3 versions,"… methane has been devoted to the oxidative coupling reaction, which involves the catalytic 
conversion of methane … selectivity at moderate levels of methane conversion. One might hope …","… methane has been devoted to the oxidative coupling reaction, which involves the catalytic 
conversion of methane … selectivity at moderate levels of methane conversion. One might hope …"
Conversion of methane by oxidative coupling,https://www.tandfonline.com/doi/pdf/10.1080/01614949009351351,"Y Amenomiya, VI Birss, M Goledzinowski… - Catalysis Reviews …, 1990 - Taylor & Francis","Y Amenomiya, VI Birss, M Goledzinowski… - Catalysis Reviews …, 1990",Taylor & Francis,Save Cite Cited by 541 Related articles All 9 versions,"… of knowledge of the oxidative coupling of methane and hopefully to provide a … methane 
conversion related to the coupling reaction. However, the partial oxidation reactions of methane …","… of knowledge of the oxidative coupling of methane and hopefully to provide a … methane 
conversion related to the coupling reaction. However, the partial oxidation reactions of methane …"
Oxidative coupling of methane to higher hydrocarbons,https://www.tandfonline.com/doi/abs/10.1080/01614948808078620,"JS Lee, ST Oyama - Catalysis Reviews Science and Engineering, 1988 - Taylor & Francis","JS Lee, ST Oyama - Catalysis Reviews Science and Engineering, 1988",Taylor & Francis,Save Cite Cited by 566 Related articles All 8 versions,"… Methane itself is primarily used as a fuel, while the nonmethane components can be … 
methane into transportable liquid products. A possible route is oxidative dimerization of methane …","… Methane itself is primarily used as a fuel, while the nonmethane components can be … 
methane into transportable liquid products. A possible route is oxidative dimerization of methane …"
Oxidative coupling of methane using oxide catalysts,https://pubs.rsc.org/en/content/articlepdf/2021/xx/cs9891800251,"GJ Hutchings, MS Scurrell… - Chemical Society Reviews, 1989 - pubs.rsc.org","GJ Hutchings, MS Scurrell… - Chemical Society Reviews, 1989",pubs.rsc.org,Save Cite Cited by 468 Related articles All 4 versions,"… oxidative coupling of methane, particularly that published since 1986. In particular this review 
seeks to discuss the mechanism of methane oxidation … -selective methane oxidation, either …","… oxidative coupling of methane, particularly that published since 1986. In particular this review 
seeks to discuss the mechanism of methane oxidation … -selective methane oxidation, either …"
Synthesis of ethylene via oxidative coupling of methane: I. Determination of active catalysts,https://www.sciencedirect.com/science/article/pii/0021951782900756,"GE Keller, MM Bhasin - Journal of Catalysis, 1982 - Elsevier","GE Keller, MM Bhasin - Journal of Catalysis, 1982",Elsevier,Save Cite Cited by 1523 Related articles All 7 versions,"… by catalytic oxidative coupling of methane at atmospheric … catalytically active for burning 
of methane to carbon oxides. … catalysts for the oxidative coupling of methane to form Cz’s , …","… by catalytic oxidative coupling of methane at atmospheric … catalytically active for burning 
of methane to carbon oxides. … catalysts for the oxidative coupling of methane to form Cz’s , …"
Oxidative coupling of methane (OCM): An overview of the challenges and opportunities for developing new technologies,https://www.sciencedirect.com/science/article/pii/S1875510021004522,"CA Ortiz-Bravo, CA Chagas, FS Toniolo - Journal of Natural Gas Science …, 2021 - Elsevier","CA Ortiz-Bravo, CA Chagas, FS Toniolo - Journal of Natural Gas Science …, 2021",Elsevier,Save Cite Cited by 18 Related articles,"… limitations that currently make the oxidative coupling of methane (OCM) industrially inviable. 
… aspects to improve their catalytic performance: methane and oxygen activation, acid-base …","… limitations that currently make the oxidative coupling of methane (OCM) industrially inviable. 
… aspects to improve their catalytic performance: methane and oxygen activation, acid-base …"
Microkinetics of methane oxidative coupling,https://www.sciencedirect.com/science/article/pii/S0920586108000722,"J Sun, JW Thybaut, GB Marin - Catalysis Today, 2008 - Elsevier","J Sun, JW Thybaut, GB Marin - Catalysis Today, 2008",Elsevier,Save Cite Cited by 184 Related articles All 6 versions,"A detailed microkinetic model for methane oxidative coupling has been developed 
including so-called catalyst descriptors. The reaction network contains 39 elementary steps …","A detailed microkinetic model for methane oxidative coupling has been developed 
including so-called catalyst descriptors. The reaction network contains 39 elementary steps …"
Active and selective catalysts for the synthesis of C2H4 and C2H6 via oxidative coupling of methane,https://www.sciencedirect.com/science/article/pii/0021951786901028,"K Otsuka, K Jinno, A Morikawa - Journal of Catalysis, 1986 - Elsevier","K Otsuka, K Jinno, A Morikawa - Journal of Catalysis, 1986",Elsevier,Save Cite Cited by 447 Related articles All 6 versions,"Active and selective catalysts for oxidative coupling of methane were tested over many metal 
oxides (30 oxides) under the experimental conditions chosen (T = 973 K, P O 2 = 0.4 kPa, P …","Active and selective catalysts for oxidative coupling of methane were tested over many metal 
oxides (30 oxides) under the experimental conditions chosen (T = 973 K, P O 2 = 0.4 kPa, P …"
Mechanistic studies on the oxidative coupling of methane,https://pubs.acs.org/doi/pdf/10.1021/j100295a003,"JA Labinger, KC Ott - Journal of Physical Chemistry, 1987 - ACS Publications","JA Labinger, KC Ott - Journal of Physical Chemistry, 1987",ACS Publications,Save Cite Cited by 189 Related articles All 5 versions,"… oxidative coupling of methane to higher hydrocarbons has met with some recent success.3-4 
In particular, reaction of methane … show in detail how oxidative coupling operates and what …","… oxidative coupling of methane to higher hydrocarbons has met with some recent success.3-4 
In particular, reaction of methane … show in detail how oxidative coupling operates and what …"
Upper bound on the yield for oxidative coupling of methane,https://www.sciencedirect.com/science/article/pii/S0021951703000435,"Y San Su, JY Ying, WH Green Jr - Journal of Catalysis, 2003 - Elsevier","Y San Su, JY Ying, WH Green Jr - Journal of Catalysis, 2003",Elsevier,Save Cite Cited by 159 Related articles All 8 versions,"… This paper examines the conversion of methane to ethene via the oxidative coupling of 
methane (OCM): 2CH 4 + O 2 → catalyst C 2 H 4 + 2H 2 O . A sizeable economic incentive exists …","… This paper examines the conversion of methane to ethene via the oxidative coupling of 
methane (OCM): 2CH 4 + O 2 → catalyst C 2 H 4 + 2H 2 O . A sizeable economic incentive exists …"
Oxidative coupling of methane over oxide-supported sodium-manganese catalysts,https://www.sciencedirect.com/science/article/pii/S0021951785712213,"DJ Wang, MP Rosynek, JH Lunsford - Journal of Catalysis, 1995 - Elsevier","DJ Wang, MP Rosynek, JH Lunsford - Journal of Catalysis, 1995",Elsevier,Save Cite Cited by 264 Related articles All 9 versions,"… in methane oxidative coupling (8). The authors proposed that a surface W species containing 
W=O and three W—O—Si bonds is responsible for the oxidative coupling of methane; …","… in methane oxidative coupling (8). The authors proposed that a surface W species containing 
W=O and three W—O—Si bonds is responsible for the oxidative coupling of methane; …"
Oxidative coupling of methane: An inherent limit to selectivity?,https://link.springer.com/article/10.1007/BF00766166,"JA Labinger - Catalysis letters, 1988 - Springer","JA Labinger - Catalysis letters, 1988",Springer,Save Cite Cited by 160 Related articles All 4 versions,"… Mechanistic considerations show that pressure must be taken into account in evaluating 
oxidative coupling catalyst performance, and predict an upper limit of around 30% yield of …","… Mechanistic considerations show that pressure must be taken into account in evaluating 
oxidative coupling catalyst performance, and predict an upper limit of around 30% yield of …"
Infrared study of the formation and stability of La2O2CO3 during the oxidative coupling of methane on La2O3,https://www.sciencedirect.com/science/article/pii/S0021951783711851,"T Levan, M Che, JM Tatibouet, M Kermarec - Journal of Catalysis, 1993 - Elsevier","T Levan, M Che, JM Tatibouet, M Kermarec - Journal of Catalysis, 1993",Elsevier,Save Cite Cited by 133 Related articles All 3 versions,"… Bulk La 2 O 2 CO 3 is formed during the oxidative coupling of CH 4 at 650C, although … that 
the dioxymonocarbonate is formed via the surface deep oxidation of CH 4 and/or the reaction …","… Bulk La 2 O 2 CO 3 is formed during the oxidative coupling of CH 4 at 650C, although … that 
the dioxymonocarbonate is formed via the surface deep oxidation of CH 4 and/or the reaction …"
Comprehensive Kinetics of Oxidative Coupling of Methane over the La2O3/CaO Catalyst,https://pubs.acs.org/doi/abs/10.1021/ie960562k,"Z Stansch, L Mleczko, M Baerns - Industrial & engineering …, 1997 - ACS Publications","Z Stansch, L Mleczko, M Baerns - Industrial & engineering …, 1997",ACS Publications,Save Cite Cited by 259 Related articles All 5 versions,"… Against this background the work reported in this paper aimed at the development of 
comprehensive kinetics for the oxidative coupling of methane that can be used for prediction of …","… Against this background the work reported in this paper aimed at the development of 
comprehensive kinetics for the oxidative coupling of methane that can be used for prediction of …"
Catalytic Non-Oxidative Coupling of Methane on Ta8O2+,https://pubs.acs.org/doi/abs/10.1021/jacs.0c01306,"N Levin, J Lengyel, JF Eckhard… - Journal of the …, 2020 - ACS Publications","N Levin, J Lengyel, JF Eckhard… - Journal of the …, 2020",ACS Publications,Save Cite Cited by 46 Related articles All 9 versions,"… an oxidative (oxidative coupling of methane, OCM) and a nonoxidative (nonoxidative coupling 
of methane… Unfortunately, since the oxidation of the products is usually favored over that of …","… an oxidative (oxidative coupling of methane, OCM) and a nonoxidative (nonoxidative coupling 
of methane… Unfortunately, since the oxidation of the products is usually favored over that of …"
Some technological aspects of methane aromatization (direct and via oxidative coupling),https://www.sciencedirect.com/science/article/pii/S0378382006000026,"K Skutil, M Taniewski - Fuel processing technology, 2006 - Elsevier","K Skutil, M Taniewski - Fuel processing technology, 2006",Elsevier,Save Cite Cited by 93 Related articles All 6 versions,"… Methane aromatization (direct and via oxidative coupling) has been studied over Mo/HZSM-… 
direct methane dehydroaromatization and for aromatization of methane oxidative coupling (…","… Methane aromatization (direct and via oxidative coupling) has been studied over Mo/HZSM-… 
direct methane dehydroaromatization and for aromatization of methane oxidative coupling (…"
The catalysts active and selective in oxidative coupling of methane,https://www.journal.csj.jp/doi/abs/10.1246/cl.1985.499,"K Otsuka, K Jinno, A Morikawa - Chemistry Letters, 1985 - journal.csj.jp","K Otsuka, K Jinno, A Morikawa - Chemistry Letters, 1985",journal.csj.jp,Save Cite Cited by 239 Related articles All 8 versions,"Active and selective catalysts in oxidative coupling of methane were looked for over many 
metal oxides (25 oxides). In general, the oxides of rare earth elements showed higher C 2 -sel …","Active and selective catalysts in oxidative coupling of methane were looked for over many 
metal oxides (25 oxides). In general, the oxides of rare earth elements showed higher C 2 -sel …"
Critical performance evaluation of catalysts and mechanistic implications for oxidative coupling of methane,https://www.sciencedirect.com/science/article/pii/0926860X93802099,"AM Maitra - Applied Catalysis A: General, 1993 - Elsevier","AM Maitra - Applied Catalysis A: General, 1993",Elsevier,Save Cite Cited by 261 Related articles All 7 versions,"… Global performance data of catalysts used for oxidative coupling of methane are evaluated 
… the methane conversion and selectivity to higher hydrocarbons of 80 or more, for a methane …","… Global performance data of catalysts used for oxidative coupling of methane are evaluated 
… the methane conversion and selectivity to higher hydrocarbons of 80 or more, for a methane …"
Mn–Na2WO4/SiO2 as catalyst for the oxidative coupling of methane. What is really known?,https://www.sciencedirect.com/science/article/pii/S0926860X12001330,"S Arndt, T Otremba, U Simon, M Yildiz… - Applied Catalysis A …, 2012 - Elsevier","S Arndt, T Otremba, U Simon, M Yildiz… - Applied Catalysis A …, 2012",Elsevier,Save Cite Cited by 247 Related articles All 7 versions,"Mn–Na 2 WO 4 /SiO 2 is one of the very few catalysts for the oxidative coupling of methane, 
whose stability over extended times on stream has been reported by different research …","Mn–Na 2 WO 4 /SiO 2 is one of the very few catalysts for the oxidative coupling of methane, 
whose stability over extended times on stream has been reported by different research …"
